date,theta1,theta2,OT
601,1.744892479,1.10214729,1.10214729
602,1.762717781,1.114703807,1.114703807
603,1.779464267,1.127431515,1.127431515
604,1.795151965,1.140284826,1.140284826
605,1.809800041,1.153221096,1.153221096
606,1.823426806,1.166200598,1.166200598
607,1.836049722,1.179186481,1.179186481
608,1.847685403,1.192144732,1.192144732
609,1.858349603,1.205044116,1.205044116
610,1.868057203,1.217856126,1.217856126
611,1.8768222,1.230554928,1.230554928
612,1.884657677,1.243117302,1.243117302
613,1.891575786,1.255522586,1.255522586
614,1.897587716,1.267752625,1.267752625
615,1.902703667,1.279791717,1.279791717
616,1.906932821,1.291626564,1.291626564
617,1.910283312,1.303246229,1.303246229
618,1.912762194,1.314642089,1.314642089
619,1.914375413,1.325807797,1.325807797
620,1.915127782,1.336739244,1.336739244
621,1.915022948,1.347434523,1.347434523
622,1.914063373,1.357893895,1.357893895
623,1.912250311,1.368119755,1.368119755
624,1.909583787,1.378116598,1.378116598
625,1.906062588,1.387890986,1.387890986
626,1.901684246,1.397451499,1.397451499
627,1.896445046,1.406808697,1.406808697
628,1.890340021,1.415975059,1.415975059
629,1.883362975,1.424964915,1.424964915
630,1.875506504,1.433794359,1.433794359
631,1.866762046,1.442481141,1.442481141
632,1.857119935,1.451044529,1.451044529
633,1.846569493,1.45950513,1.45950513
634,1.835099137,1.467884677,1.467884677
635,1.82269653,1.476205748,1.476205748
636,1.809348772,1.484491425,1.484491425
637,1.795042634,1.492764871,1.492764871
638,1.77976486,1.501048813,1.501048813
639,1.763502523,1.509364924,1.509364924
640,1.746243463,1.517733083,1.517733083
641,1.727976796,1.526170515,1.526170515
642,1.708693502,1.5346908,1.5346908
643,1.688387082,1.543302775,1.543302775
644,1.66705428,1.552009337,1.552009337
645,1.644695822,1.560806188,1.560806188
646,1.621317159,1.569680593,1.569680593
647,1.596929143,1.578610215,1.578610215
648,1.571548581,1.587562142,1.587562142
649,1.545198602,1.596492185,1.596492185
650,1.517908763,1.605344577,1.605344577
