date,X,Y,Z,OT
364,2.99E-01,2.87E+00,2.37E+01,2.37E+01
365,8.13E-01,2.84E+00,2.25E+01,2.25E+01
366,1.22E+00,2.87E+00,2.13E+01,2.13E+01
367,1.55E+00,2.98E+00,2.03E+01,2.03E+01
368,1.83E+00,3.16E+00,1.93E+01,1.93E+01
369,2.10E+00,3.41E+00,1.84E+01,1.84E+01
370,2.36E+00,3.75E+00,1.75E+01,1.75E+01
371,2.64E+00,4.17E+00,1.68E+01,1.68E+01
372,2.94E+00,4.68E+00,1.61E+01,1.61E+01
373,3.29E+00,5.29E+00,1.55E+01,1.55E+01
374,3.69E+00,6.00E+00,1.50E+01,1.50E+01
375,4.15E+00,6.84E+00,1.47E+01,1.47E+01
376,4.69E+00,7.81E+00,1.45E+01,1.45E+01
377,5.31E+00,8.92E+00,1.44E+01,1.44E+01
378,6.04E+00,1.02E+01,1.46E+01,1.46E+01
379,6.87E+00,1.16E+01,1.50E+01,1.50E+01
380,7.81E+00,1.32E+01,1.58E+01,1.58E+01
381,8.88E+00,1.48E+01,1.70E+01,1.70E+01
382,1.01E+01,1.64E+01,1.88E+01,1.88E+01
383,1.13E+01,1.80E+01,2.11E+01,2.11E+01
384,1.27E+01,1.92E+01,2.40E+01,2.40E+01
385,1.40E+01,1.98E+01,2.76E+01,2.76E+01
386,1.51E+01,1.95E+01,3.17E+01,3.17E+01
387,1.60E+01,1.80E+01,3.59E+01,3.59E+01
388,1.64E+01,1.51E+01,3.97E+01,3.97E+01
389,1.62E+01,1.10E+01,4.26E+01,4.26E+01
390,1.51E+01,6.05E+00,4.39E+01,4.39E+01
391,1.33E+01,1.13E+00,4.34E+01,4.34E+01
392,1.09E+01,-2.98E+00,4.13E+01,4.13E+01
393,8.10E+00,-5.82E+00,3.85E+01,3.85E+01
394,5.32E+00,-7.40E+00,3.55E+01,3.55E+01
395,2.77E+00,-8.05E+00,3.28E+01,3.28E+01
396,6.09E-01,-8.16E+00,3.06E+01,3.06E+01
397,-1.14E+00,-8.03E+00,2.89E+01,2.89E+01
398,-2.52E+00,-7.84E+00,2.75E+01,2.75E+01
399,-3.59E+00,-7.71E+00,2.65E+01,2.65E+01
400,-4.41E+00,-7.67E+00,2.56E+01,2.56E+01
401,-5.06E+00,-7.73E+00,2.49E+01,2.49E+01
402,-5.60E+00,-7.89E+00,2.44E+01,2.44E+01
403,-6.05E+00,-8.14E+00,2.39E+01,2.39E+01
404,-6.47E+00,-8.46E+00,2.37E+01,2.37E+01
405,-6.87E+00,-8.86E+00,2.35E+01,2.35E+01
406,-7.27E+00,-9.30E+00,2.34E+01,2.34E+01
407,-7.67E+00,-9.77E+00,2.36E+01,2.36E+01
408,-8.09E+00,-1.03E+01,2.38E+01,2.38E+01
409,-8.53E+00,-1.07E+01,2.42E+01,2.42E+01
410,-8.97E+00,-1.12E+01,2.47E+01,2.47E+01
411,-9.41E+00,-1.15E+01,2.54E+01,2.54E+01
412,-9.84E+00,-1.18E+01,2.62E+01,2.62E+01
413,-1.02E+01,-1.19E+01,2.71E+01,2.71E+01
414,-1.06E+01,-1.18E+01,2.81E+01,2.81E+01
415,-1.08E+01,-1.16E+01,2.91E+01,2.91E+01
416,-1.10E+01,-1.11E+01,3.01E+01,3.01E+01
417,-1.10E+01,-1.04E+01,3.09E+01,3.09E+01
418,-1.09E+01,-9.57E+00,3.16E+01,3.16E+01
419,-1.06E+01,-8.60E+00,3.20E+01,3.20E+01
420,-1.02E+01,-7.59E+00,3.21E+01,3.21E+01
421,-9.69E+00,-6.60E+00,3.19E+01,3.19E+01
422,-9.07E+00,-5.71E+00,3.15E+01,3.15E+01
423,-8.40E+00,-4.96E+00,3.09E+01,3.09E+01
424,-7.71E+00,-4.38E+00,3.00E+01,3.00E+01
425,-7.05E+00,-3.98E+00,2.91E+01,2.91E+01
426,-6.43E+00,-3.74E+00,2.81E+01,2.81E+01
427,-5.90E+00,-3.65E+00,2.71E+01,2.71E+01
428,-5.45E+00,-3.69E+00,2.61E+01,2.61E+01
429,-5.10E+00,-3.82E+00,2.51E+01,2.51E+01
430,-4.84E+00,-4.04E+00,2.42E+01,2.42E+01
431,-4.68E+00,-4.33E+00,2.33E+01,2.33E+01
432,-4.61E+00,-4.69E+00,2.24E+01,2.24E+01
433,-4.63E+00,-5.11E+00,2.17E+01,2.17E+01
434,-4.72E+00,-5.59E+00,2.10E+01,2.10E+01
435,-4.90E+00,-6.15E+00,2.04E+01,2.04E+01
436,-5.15E+00,-6.77E+00,1.99E+01,1.99E+01
437,-5.47E+00,-7.47E+00,1.95E+01,1.95E+01
438,-5.87E+00,-8.24E+00,1.93E+01,1.93E+01
439,-6.35E+00,-9.10E+00,1.92E+01,1.92E+01
440,-6.90E+00,-1.00E+01,1.94E+01,1.94E+01
441,-7.52E+00,-1.10E+01,1.97E+01,1.97E+01
442,-8.22E+00,-1.20E+01,2.03E+01,2.03E+01
443,-8.99E+00,-1.31E+01,2.12E+01,2.12E+01
444,-9.80E+00,-1.40E+01,2.24E+01,2.24E+01
445,-1.06E+01,-1.48E+01,2.40E+01,2.40E+01
446,-1.15E+01,-1.54E+01,2.59E+01,2.59E+01
